Nationality;Country_of_Residence;Date_of_birth;Unique_Trader_id;Amount;Currency;Unique_Stock_ID;Buy_or_Sell;First_Name;Last_Name
PA;PA;29111976;9638;2260.60;NZD;231;BUY;Fname30;Lname30
PA;PA;29111976;1692;53301.62;PLN;231;BUY;Fname30;Lname30
PA;PA;29111976;7262;4385.32;USD;231;BUY;Fname162;Lname162
PE;PE;29041956;9706;92654.60;PEN;561;BUY;Fname165;Lname165
PE;PE;29041956;9706;29229.09;PEN;561;BUY;Fname165;Lname165
PE;PE;29041956;9706;2260.60;PEN;561;BUY;Fname165;Lname165
PE;PE;29041956;9706;53301.62;PEN;561;BUY;Fname165;Lname165
PE;PE;29041956;9706;51855.65;PEN;561;BUY;Fname165;Lname165
PE;PE;29041956;9706;36001.57;PEN;561;BUY;Fname165;Lname165
PE;PE;29041956;9706;80046.05;PEN;561;BUY;Fname165;Lname165
PF;PF;30041979;1928;85211.87;XPF;757;SELL;Fname71;Lname71
PF;PF;3121960;440;77262;EUR;898;SELL;First129;Last129
PG;PG;23011967;1953;7033.38;PGK;218;BUY;Fname163;Lname163
PK;PK;23011976;4266;51946.65;PKR;257;BUY;Fname27;Lname27
PK;PK;23011976;4266;51946.65;PKR;257;BUY;Fname159;Lname159
PM;PM;14121974;961;80957.19;EUR;366;SELL;First9;Last9
PR;PR;30091956;8006;36001.57;USD;132;BUY;Fname38;Lname38
PS;PS;3041968;6423;967.32;USD;6;BUY;Fname29;Lname29
PS;PS;3041968;6423;967.32;USD;6;BUY;Fname161;Lname161
PT;PT;26111960;6447;51855.65;EUR;260;BUY;Fname37;Lname37
PW;PW;9101966;3295;24200.26;USD;382;BUY;Fname28;Lname28
PW;PW;9101966;3295;24200.26;USD;382;BUY;Fname160;Lname160
PY;PY;9061965;4781;16957.53;PYG;497;BUY;Fname164;Lname164
QA;QA;11041969;9544;80046.05;QAR;757;BUY;Fname39;Lname39
RE;RE;7011963;6413;30908.17;EUR;434;SELL;Fname175;Lname175
RO;RO;15061979;3187;52895.19;RON;443;BUY;Fname40;Lname40
RO;RO;15061979;3187;52895.19;RON;443;BUY;Fname172;Lname172
RS;RS;26071978;6580;10977.35;RSD;628;SELL;Fname180;Lname180
RS;RS;26071978;6580;31578.67;RSD;628;SELL;Fname180;Lname180
RS;RS;26071978;6580;99505.94;RSD;628;SELL;Fname180;Lname180
RS;RS;26071978;6580;81508.05;RSD;628;SELL;Fname180;Lname180
RS;RS;26071978;6580;8659.83;RSD;628;SELL;Fname180;Lname180
RS;RS;26071978;6580;46470.72;RSD;628;SELL;Fname180;Lname180
RS;RS;26071978;6580;34289.63;RSD;628;SELL;Fname180;Lname180
RU;RU;27121964;7683;37506.21;RUB;484;SELL;Fname41;Lname41
RU;RU;27121964;7683;37506.21;RUB;484;SELL;Fname173;Lname173
RW;RW;22061973;7970;42704.65;RWF;840;SELL;Fname42;Lname42
RW;RW;22061973;7970;42704.65;RWF;840;SELL;Fname174;Lname174
SA;SA;20051967;9437;92573.31;EUR;32;SELL;Fname43;Lname43
SA;SA;23101978;9437;44742.93;SAR;32;SELL;Fname43;Lname43
SA;SA;23101978;9437;44742.93;SAR;32;SELL;Fname43;Lname43
SA;SA;23101978;9437;44742.93;SAR;32;SELL;Fname43;Lname43
SA;SA;23101978;9437;44742.93;SAR;32;SELL;Fname43;Lname43
SA;SA;23101978;9437;44742.93;SAR;32;SELL;Fname43;Lname43
SA;SA;23101978;9437;44742.93;SAR;32;SELL;Fname43;Lname43
SA;SA;23101978;9437;44742.93;SAR;32;SELL;Fname43;Lname43
SA;SA;23101978;1907;44742.93;SAR;32;SELL;Fname178;Lname178
SA;SA;13071969;5220;78687;EUR;609;BUY;First127;Last127
SB;SB;6021963;962;64326.77;SBD;272;SELL;Fname187;Lname187
SC;SC;14111964;2181;31578.67;SCR;407;SELL;Fname45;Lname45
SD;SD;29041969;2477;63908.81;SDG;147;SELL;First11;Last11
SE;SE;25041972;3266;33834.30;SEK;571;BUY;First15;Last15
SH;SH;5031977;405;30885.47;SHP;251;BUY;First5;Last5
SJ;SJ;24041979;4026;32044.08;NOK;767;BUY;First13;Last13
SM;SM;20051967;9437;92573.31;EUR;753;SELL;Fname177;Lname177
SN;SN;26071979;2139;3158.63;XOF;395;SELL;Fname179;Lname179
SO;SO;3121974;7952;82368.98;SOS;574;BUY;Fname188;Lname188
SR;SR;25111974;9697;15299.84;SRD;49;SELL;First12;Last12
SS;SS;24021973;7077;46687.34;SSP;251;BUY;Fname192;Lname192
SS;SS;24021973;7077;46687.34;SSP;251;BUY;First1;Last1
ST;ST;21041960;7993;39485.49;STD;638;BUY;First18;Last18
SV;SV;10021967;439;95616.45;USD;382;SELL;Fname60;Lname60
SV;SV;9051978;570;68904;USD;638;BUY;First118;Last118
SY;SY;3101975;6519;43740.54;SYP;551;BUY;First17;Last17
SZ;SZ;18021957;747;42615.58;SZL;414;BUY;First14;Last14
TC;TC;26021963;2485;62548.14;USD;132;SELL;First31;Last31
TD;TD;23101962;8490;80637.02;XAF;594;SELL;First95;Last95
TF;TF;2021961;8675;58137.31;XPF;443;SELL;Fname72;Lname72
TF;TF;25081975;5459;32729;XPF;260;SELL;First130;Last130
TG;TG;18121979;8733;12562.60;XOF;218;SELL;First24;Last24
TH;TH;9071962;9008;72615.00;THB;6;SELL;First22;Last22
TJ;TJ;27101959;8438;83239.52;TJS;257;SELL;First20;Last20
TK;TK;13061970;8883;62409.52;NZD;497;SELL;First25;Last25
TL;TL;14061977;4603;38412.98;USD;231;SELL;First23;Last23
TM;TM;20071967;7248;92460.20;TMT;260;SELL;First30;Last30
TN;TN;29071962;3274;11215.15;TND;465;SELL;First28;Last28
TO;TO;1111975;7487;70056.85;TOP;561;SELL;First26;Last26
TR;TR;26021976;3951;80831.08;TRY;898;SELL;First29;Last29
TT;TT;4121959;1424;62287.65;TTD;609;SELL;First27;Last27
TV;TV;15011974;8903;2048.48;AUD;757;SELL;First32;Last32
TW;TW;15041966;3016;57550.72;STD;378;BUY;First19;Last19
TZ;TZ;6111974;1708;5233.73;TZS;382;SELL;First21;Last21
UA;UA;17041958;78;85341.17;UAH;753;BUY;First38;Last38
UG;UG;15071959;4001;52113.60;UGX;513;BUY;First37;Last37
UM;UM;10041967;6576;17693.93;AUD;443;SELL;First33;Last33
US;US;27011967;9513;10118.05;USD;434;BUY;First36;Last36
UY;UY;29071959;9581;27104.31;UYU;395;BUY;First40;Last40
UZ;UZ;31011976;3991;43916.43;UZS;628;BUY;First41;Last41
VA;VA;23071965;6968;20777.11;EUR;170;BUY;First43;Last43
VC;VC;14021974;1165;74665.06;XCD;715;SELL;First10;Last10
VE;VE;3041955;7853;44113.40;VEF;642;BUY;First44;Last44
VG;VG;31031975;2819;89678.24;USD;840;BUY;First83;Last83
VI;VI;23011961;1722;56449.63;USD;484;BUY;First34;Last34
VN;VN;15031955;4905;89405.21;VND;128;BUY;First45;Last45
VU;VU;10061958;31;91468.92;VUV;407;BUY;First42;Last42
WF;WF;13021956;5520;94318.81;XPF;106;BUY;First46;Last46
WS;WS;23021967;799;20717.45;WST;513;SELL;Fname176;Lname176
YE;YE;28071976;8459;61279.62;YER;272;BUY;First48;Last48
YT;YT;17081976;9648;2711;EUR;170;BUY;First191;Last191
ZA;ZA;6081977;3523;74252.11;ZAR;330;BUY;Fname189;Lname189
ZM;ZM;3011965;2060;78463.31;ZMW;574;BUY;First49;Last49
ZW;ZW;15121957;5017;14892.45;ZWL;330;BUY;First50;Last50
