Nationality;Country_of_Residence;Date_of_birth;Unique_Trader_id;Amount;Currency;Unique_Stock_ID;First_Name;Last_Name
EH;EH;6091978;1234;73549.89;MAD;594;BUY;First47;Last47
ER;ER;2021965;7376;94114.96;ERN;231;SELL;Fname62;Lname62
ER;ER;20121968;9717;62588;ERN;257;BUY;First120;Last120
ES;ES;9071973;9400;80988.49;EUR;160;BUY;First2;Last2
ET;ET;31121967;2419;17400.98;ETB;497;SELL;Fname64;Lname64
ET;ET;3051955;3632;2488;ETB;6;BUY;First122;Last122
FI;FI;27101979;1868;76260.70;EUR;898;SELL;Fname68;Lname68
FI;FI;19051976;8597;17842;EUR;561;BUY;First126;Last126
FJ;FJ;20041968;3039;4084.31;FJD;465;SELL;Fname67;Lname67
FJ;FJ;25021970;2534;39435;FJD;497;BUY;First125;Last125
FK;FK;3081958;6267;77469.07;FKP;561;SELL;Fname65;Lname65
FK;FK;20071966;4217;80677;FKP;231;BUY;First123;Last123
FM;FM;2011973;3857;30271.54;USD;642;SELL;Fname135;Lname135
FM;FM;9051975;111;80952;USD;128;BUY;First193;Last193
FO;FO;8101974;4365;79083.28;FKP;609;SELL;Fname66;Lname66
FO;FO;25041975;8506;27222;FKP;218;BUY;First124;Last124
FR;FR;21011955;5558;7378.34;EUR;260;SELL;Fname69;Lname69
FR;FR;13101966;51;80170;DOP;571;BUY;First115;Last115
GA;GA;30031955;9850;98329.13;XAF;484;SELL;Fname73;Lname73
GA;GA;24071971;3811;10384;XAF;132;SELL;First131;Last131
GB;GB;13011963;5253;54620.58;GBP;840;BUY;First35;Last35
GD;GD;27041960;5857;97356;XCD;32;SELL;First139;Last139
GE;GE;5071971;1220;80287.47;GEL;434;SELL;Fname75;Lname75
GE;GE;14071958;7109;6851;GEL;443;SELL;First133;Last133
GF;GF;30011960;1790;87709.29;EUR;132;SELL;Fname70;Lname70
GF;GF;23011974;6054;80757;EUR;465;;First128;Last128
GG;GG;17051977;9048;49667.35;GBP;106;SELL;Fname85;Lname85
GG;GG;2071971;2523;84255;GBP;170;SELL;First143;Last143
GH;GH;14091978;9776;87495;GHS;840;SELL;First135;Last135
GI;GI;19011958;9838;83213;GIP;434;SELL;First136;Last136
GL;GL;28121960;5896;12744;DKK;753;SELL;First138;Last138
GM;GM;5061978;4725;770.41;GMD;840;SELL;Fname74;Lname74
GM;GM;19041963;457;79274;GMD;757;SELL;First132;Last132
GN;GN;16051969;552;42557.08;GNF;594;SELL;Fname86;Lname86
GN;GN;4111976;2581;53474;GNF;642;SELL;First144;Last144
GP;GP;21021976;6406;74930;EUR;395;SELL;First140;Last140
GQ;GQ;14041970;9489;92326.24;XAF;6;SELL;Fname61;Lname61
GQ;GQ;2021977;3556;4209;XAF;378;BUY;First119;Last119
GR;GR;24041956;5929;1193;EUR;513;SELL;First137;Last137
GS;GS;4091966;7431;70107.05;ZAR;817;BUY;Fname190;Lname190
GT;GT;27011961;485;32780.76;GTQ;128;SELL;Fname84;Lname84
GT;GT;27091970;4991;87823;GTQ;407;SELL;First142;Last142
GU;GU;15031972;708;57350.11;USD;642;SELL;Fname83;Lname83
GU;GU;25041961;4674;98711;USD;628;SELL;First141;Last141
GW;GW;26031971;6915;85052.87;XOF;272;SELL;Fname87;Lname87
GW;GW;6121975;4955;84772;XOF;128;SELL;First145;Last145
GY;GY;9041961;2401;53426.09;GYD;574;SELL;Fname88;Lname88
GY;GY;14111957;3968;56089;GYD;106;SELL;First146;Last146
HK;HK;28061967;3791;94936.53;HNL;251;BUY;Fname92;Lname92
HK;HK;10071964;8774;59664;HNL;330;SELL;First150;Last150
HM;HM;21011966;770;37357.70;USD;817;BUY;Fname90;Lname90
HM;HM;7071955;6139;93222;USD;272;SELL;First148;Last148
HN;HN;6061955;4122;53009.61;HNL;80;BUY;Fname91;Lname91
HN;HN;24051966;9125;13070;HNL;574;SELL;First149;Last149
HR;HR;17061966;1068;926.42;HRK;366;BUY;Fname48;Lname48
HR;HR;24101963;1547;50180;HRK;160;BUY;First106;Last106
HT;HT;5091971;964;73220.00;USD;330;BUY;Fname89;Lname89
HT;HT;5081956;5810;2477;USD;594;SELL;First147;Last147
HU;HU;23051963;2346;15910.55;HUF;160;BUY;Fname93;Lname93
HU;HU;6101958;9264;29848;HUF;817;SELL;First151;Last151
ID;ID;6031974;3151;38088.28;IDR;251;BUY;Fname96;Lname96
ID;ID;20121961;9945;41210;IDR;160;BUY;First154;Last154
IE;IE;10011962;7775;68749;EUR;366;BUY;First157;Last157
IL;IL;6071962;9807;86698;ILS;147;BUY;First159;Last159
IM;IM;13091972;8318;94790;GBP;715;BUY;First158;Last158
IN;IN;27101966;8398;149.50;INR;80;SELL;Fname44;Lname44
IN;IN;27101967;8398;65649.80;INR;80;SELL;Fname44;Lname44
IN;IN;27101968;8398;77849.30;INR;80;BUY;Fname44;Lname44
IN;IN;27101967;8398;7559149;INR;80;SELL;Fname44;Lname44
IN;IN;27101962;8398;59149.50;INR;80;BUY;Fname95;Lname95
IN;IN;10011963;4349;82897;INR;251;BUY;First153;Last153
IN;IN;27101965;8398;2139.50;INR;80;BUY;Fname44;Lname44
IN;IN;27101966;8398;54349.50;INR;80;SELL;Fname44;Lname44
IN;IN;27101967;8398;3244.50;INR;80;SELL;Fname44;Lname44
IN;IN;27101968;8398;3442;INR;80;BUY;Fname44;Lname44
IN;IN;27101967;8398;5910;INR;80;SELL;Fname44;Lname44
IN;IN;27101965;8398;9149.60;INR;80;BUY;Fname44;Lname44
IO;IO;23051967;2987;80707.40;BRL;484;BUY;First82;Last82
IQ;IQ;15111960;187;4381;IQD;41;BUY;First156;Last156
IR;IR;1111963;5620;86531.23;IRR;160;BUY;Fname97;Lname97
IR;IR;1111963;5620;56989.07;IRR;671;BUY;Fname97;Lname97
IR;IR;1111963;5620;99348.19;IRR;41;BUY;Fname97;Lname97
IR;IR;1111963;5620;43264.39;IRR;366;SELL;Fname97;Lname97
IR;IR;1111963;5620;74681.58;IRR;715;SELL;Fname97;Lname97
IR;IR;1111963;5620;77822.51;IRR;147;SELL;Fname97;Lname97
IR;IR;1111963;5620;65522.64;IRR;49;SELL;Fname97;Lname97
IR;IR;1111963;5620;74397.77;IRR;767;SELL;Fname97;Lname97
IR;IR;1111963;5620;83331.24;IRR;414;SELL;Fname97;Lname97
IR;IR;1111963;5620;37373.51;IRR;571;BUY;Fname97;Lname97
IR;IR;1111963;5620;1585.85;IRR;580;BUY;Fname97;Lname97
IR;IR;1111963;5620;47687.32;IRR;551;BUY;Fname97;Lname97
IR;IR;2091958;1253;71019;IRR;671;BUY;First155;Last155
IS;IS;30071957;1650;69237.17;ISK;817;BUY;Fname94;Lname94
IS;IS;9111961;744;14060;ISK;80;BUY;First152;Last152
IT;IT;27101955;228;22620;EUR;49;BUY;First160;Last160
JE;JE;3061976;5913;94657;GBP;571;SELL;First163;Last163
JM;JM;5011960;7576;22741;JMD;767;BUY;First161;Last161
JO;JO;16121973;8276;48053;JOD;580;SELL;First164;Last164
JP;JP;15061966;9423;87528;JPY;414;SELL;First162;Last162
KE;KE;14071975;9814;92415;KES;638;SELL;First166;Last166
KG;KG;30031964;5578;96991.86;KGS;257;BUY;Fname111;Lname111
KG;KG;26021978;6760;51709;KGS;382;SELL;First169;Last169
KH;KH;18121966;4962;15439.18;KHR;395;BUY;First88;Last88
KI;KI;23071961;6929;43707.09;AUD;638;BUY;Fname109;Lname109
KI;KI;8051964;5418;98916;AUD;378;SELL;First167;Last167
KM;KM;25011971;5406;12207.05;KMF;251;SELL;First101;Last101
KN;KN;27031958;5747;81020.85;XCD;160;BUY;First6;Last6
KP;KP;18071978;2433;65288.16;KPW;580;BUY;Fname23;Lname23
KP;KP;18071978;2433;65288.16;KPW;580;BUY;Fname155;Lname155
KR;KR;26051976;3639;14742.47;KRW;80;BUY;Fname191;Lname191
KW;KW;4121956;648;180.47;KWD;378;BUY;Fname110;Lname110
KW;KW;2021978;9519;17498;KWD;257;SELL;First168;Last168
KY;KY;30011978;7849;26720.92;KYD;128;SELL;First93;Last93
